epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.00983;00:01:12;0.89522;0.98226;[[606, 49, 3, 2], [59, 569, 32, 2], [3, 30, 547, 42], [1, 5, 46, 619]];0.89520;0.89524;0.89522
1;0.00745;00:01:09;0.92008;0.98863;[[621, 34, 3, 2], [39, 596, 23, 4], [1, 26, 559, 36], [1, 3, 37, 630]];0.92006;0.92004;0.92008
2;0.00610;00:01:10;0.92581;0.99253;[[620, 35, 5, 0], [41, 602, 15, 4], [2, 23, 563, 34], [2, 3, 30, 636]];0.92577;0.92576;0.92581
3;0.00521;00:01:10;0.93652;0.99475;[[630, 23, 5, 2], [33, 611, 15, 3], [0, 23, 568, 31], [1, 3, 27, 640]];0.93647;0.93644;0.93652
4;0.00453;00:01:09;0.95143;0.99611;[[639, 20, 0, 1], [27, 623, 11, 1], [0, 14, 583, 25], [2, 4, 22, 643]];0.95141;0.95141;0.95143
5;0.00424;00:01:10;0.95526;0.99647;[[642, 17, 1, 0], [20, 623, 16, 3], [1, 18, 582, 21], [1, 4, 15, 651]];0.95522;0.95520;0.95526
6;0.00415;00:01:11;0.95641;0.99671;[[640, 15, 4, 1], [15, 630, 15, 2], [0, 16, 588, 18], [0, 3, 25, 643]];0.95647;0.95658;0.95641
7;0.00378;00:01:10;0.95946;0.99730;[[640, 15, 4, 1], [18, 634, 8, 2], [1, 12, 589, 20], [2, 4, 19, 646]];0.95946;0.95947;0.95946
8;0.00306;00:01:12;0.97361;0.99824;[[652, 7, 0, 1], [15, 638, 7, 2], [4, 9, 597, 12], [0, 1, 11, 659]];0.97358;0.97361;0.97361
9;0.00289;00:01:10;0.97094;0.99859;[[643, 16, 0, 1], [11, 641, 9, 1], [2, 6, 599, 15], [1, 1, 13, 656]];0.97094;0.97094;0.97094
10;0.00254;00:01:10;0.97247;0.99905;[[644, 14, 1, 1], [16, 638, 8, 0], [1, 8, 600, 13], [0, 2, 8, 661]];0.97245;0.97246;0.97247
11;0.00253;00:01:10;0.97629;0.99850;[[651, 7, 2, 0], [12, 645, 5, 0], [1, 8, 600, 13], [1, 1, 12, 657]];0.97628;0.97628;0.97629
12;0.00216;00:01:11;0.98164;0.99929;[[650, 10, 0, 0], [9, 648, 5, 0], [1, 8, 606, 7], [1, 0, 7, 663]];0.98165;0.98166;0.98164
13;0.00232;00:01:11;0.97591;0.99910;[[646, 14, 0, 0], [12, 643, 7, 0], [0, 5, 606, 11], [0, 0, 14, 657]];0.97592;0.97594;0.97591
14;0.00280;00:01:11;0.97017;0.99837;[[645, 13, 1, 1], [19, 636, 5, 2], [1, 8, 598, 15], [0, 1, 12, 658]];0.97015;0.97016;0.97017
15;0.00214;00:01:10;0.98088;0.99915;[[652, 7, 1, 0], [13, 644, 4, 1], [0, 6, 606, 10], [1, 0, 7, 663]];0.98087;0.98088;0.98088
16;0.00190;00:01:12;0.98088;0.99941;[[651, 7, 2, 0], [9, 645, 7, 1], [0, 6, 606, 10], [0, 0, 8, 663]];0.98088;0.98088;0.98088
17;0.00175;00:01:10;0.98470;0.99963;[[652, 5, 3, 0], [8, 653, 1, 0], [0, 1, 610, 11], [0, 1, 10, 660]];0.98471;0.98471;0.98470
18;0.00198;00:01:11;0.98203;0.99932;[[649, 8, 2, 1], [6, 649, 7, 0], [2, 6, 605, 9], [0, 0, 6, 665]];0.98202;0.98203;0.98203
19;0.00189;00:01:10;0.98011;0.99950;[[652, 7, 0, 1], [11, 645, 6, 0], [1, 6, 603, 12], [1, 0, 7, 663]];0.98010;0.98011;0.98011
20;0.00181;00:01:09;0.98279;0.99914;[[651, 8, 0, 1], [9, 648, 5, 0], [2, 6, 608, 6], [0, 0, 8, 663]];0.98279;0.98279;0.98279
