epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.03307;00:01:32;0.53805;0.79287;[[454, 137, 16, 53], [243, 272, 91, 55], [58, 147, 272, 146], [75, 68, 119, 409]];0.53377;0.53665;0.53805
1;0.03233;00:01:34;0.60727;0.84059;[[438, 156, 57, 9], [161, 359, 120, 21], [19, 128, 322, 154], [35, 33, 134, 469]];0.60808;0.60901;0.60727
2;0.03032;00:01:40;0.65086;0.86292;[[475, 110, 59, 16], [144, 393, 108, 16], [12, 138, 345, 128], [13, 39, 130, 489]];0.65209;0.65361;0.65086
3;0.02882;00:01:28;0.66883;0.87537;[[482, 96, 65, 17], [134, 422, 92, 13], [9, 147, 343, 124], [13, 28, 128, 502]];0.66979;0.67108;0.66883
4;0.02767;00:01:33;0.68184;0.88509;[[490, 92, 57, 21], [121, 436, 89, 15], [15, 143, 355, 110], [17, 28, 124, 502]];0.68275;0.68410;0.68184
5;0.02656;00:01:42;0.70478;0.89496;[[496, 83, 62, 19], [113, 440, 88, 20], [12, 129, 378, 104], [16, 28, 98, 529]];0.70526;0.70593;0.70478
6;0.02368;00:01:33;0.71931;0.90822;[[508, 91, 45, 16], [116, 436, 85, 24], [10, 124, 401, 88], [12, 22, 101, 536]];0.71987;0.72053;0.71931
7;0.02126;00:01:43;0.74417;0.92232;[[536, 72, 34, 18], [108, 467, 70, 16], [12, 132, 395, 84], [10, 25, 88, 548]];0.74391;0.74418;0.74417
8;0.02063;00:01:47;0.75335;0.92728;[[535, 79, 36, 10], [106, 468, 76, 11], [9, 121, 404, 89], [8, 23, 77, 563]];0.75318;0.75337;0.75335
9;0.01891;00:01:44;0.77935;0.93779;[[545, 61, 40, 14], [95, 479, 72, 15], [12, 91, 448, 72], [6, 22, 77, 566]];0.77952;0.77976;0.77935
10;0.01673;00:01:46;0.79694;0.94925;[[555, 65, 33, 7], [85, 491, 66, 19], [14, 92, 453, 64], [6, 20, 60, 585]];0.79683;0.79676;0.79694
