epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.00145;00:05:14;0.73599;0.92208;[[2490, 446, 17, 17], [674, 1897, 336, 38], [22, 438, 1900, 551], [16, 60, 494, 2380]];0.73439;0.73376;0.73599
1;0.00156;00:05:07;0.72945;0.91909;[[2461, 443, 43, 23], [664, 1900, 333, 48], [23, 465, 1882, 541], [20, 57, 526, 2347]];0.72819;0.72758;0.72945
2;0.00150;00:05:05;0.74176;0.92316;[[2448, 453, 40, 29], [631, 1961, 314, 39], [13, 453, 1925, 520], [14, 63, 472, 2401]];0.74082;0.74036;0.74176
3;0.00146;00:05:05;0.74117;0.92373;[[2482, 427, 36, 25], [677, 1911, 317, 40], [20, 431, 1915, 545], [17, 45, 468, 2420]];0.73943;0.73879;0.74117
4;0.00145;00:05:11;0.74142;0.92442;[[2485, 426, 35, 24], [639, 1943, 322, 41], [21, 453, 1896, 541], [19, 46, 478, 2407]];0.73991;0.73925;0.74142
5;0.00142;00:05:03;0.74474;0.92602;[[2495, 417, 38, 20], [637, 1939, 332, 37], [19, 445, 1922, 525], [19, 48, 469, 2414]];0.74329;0.74264;0.74474
6;0.00136;00:04:58;0.75187;0.92958;[[2501, 412, 35, 22], [623, 1948, 338, 36], [20, 425, 1934, 532], [17, 49, 413, 2471]];0.75013;0.74944;0.75187
7;0.00154;00:05:08;0.73548;0.92230;[[2389, 475, 75, 31], [586, 1928, 398, 33], [19, 498, 1864, 530], [5, 19, 446, 2480]];0.73441;0.73370;0.73548
8;0.00122;00:05:06;0.76749;0.93775;[[2524, 400, 33, 13], [603, 2008, 322, 12], [15, 415, 1999, 482], [10, 17, 416, 2507]];0.76614;0.76554;0.76749
9;0.00111;00:05:04;0.77998;0.94470;[[2572, 364, 24, 10], [584, 2060, 288, 13], [11, 372, 2011, 517], [10, 22, 376, 2542]];0.77821;0.77780;0.77998
10;0.00106;00:05:04;0.78753;0.94728;[[2577, 360, 23, 10], [544, 2110, 281, 10], [10, 363, 2028, 510], [10, 20, 361, 2559]];0.78595;0.78556;0.78753
11;0.00102;00:05:00;0.79186;0.94955;[[2587, 352, 19, 12], [537, 2105, 288, 15], [11, 357, 2053, 490], [12, 23, 335, 2580]];0.79024;0.78989;0.79186
12;0.00098;00:05:04;0.79526;0.95137;[[2600, 345, 14, 11], [549, 2110, 270, 16], [8, 335, 2066, 502], [8, 23, 330, 2589]];0.79351;0.79334;0.79526
13;0.00095;00:05:01;0.79866;0.95364;[[2613, 331, 17, 9], [536, 2142, 253, 14], [8, 335, 2070, 498], [11, 24, 335, 2580]];0.79702;0.79689;0.79866
14;0.00092;00:05:01;0.80401;0.95514;[[2614, 333, 10, 13], [525, 2133, 278, 9], [6, 321, 2101, 483], [10, 21, 299, 2620]];0.80231;0.80217;0.80401
15;0.00089;00:05:04;0.80783;0.95680;[[2622, 325, 13, 10], [522, 2164, 251, 8], [9, 306, 2122, 474], [7, 22, 316, 2605]];0.80634;0.80623;0.80783
16;0.00088;00:05:02;0.81174;0.95808;[[2600, 344, 16, 10], [444, 2178, 310, 13], [3, 278, 2122, 508], [5, 16, 270, 2659]];0.81022;0.81008;0.81174
17;0.00085;00:05:05;0.81165;0.95897;[[2639, 311, 14, 6], [504, 2174, 256, 11], [4, 293, 2123, 491], [5, 20, 303, 2622]];0.81004;0.80998;0.81165
18;0.00085;00:05:04;0.81547;0.95973;[[2646, 306, 12, 6], [504, 2178, 256, 7], [7, 296, 2156, 452], [9, 20, 298, 2623]];0.81402;0.81390;0.81547
19;0.00085;00:05:05;0.81810;0.95951;[[2653, 295, 15, 7], [485, 2192, 252, 16], [4, 302, 2139, 466], [7, 17, 276, 2650]];0.81647;0.81648;0.81810
20;0.00083;00:05:06;0.81598;0.96028;[[2643, 303, 13, 11], [513, 2194, 229, 9], [6, 287, 2153, 465], [8, 19, 304, 2619]];0.81453;0.81459;0.81598
21;0.00084;00:04:57;0.81462;0.96049;[[2645, 300, 14, 11], [504, 2186, 243, 12], [6, 291, 2144, 470], [10, 17, 305, 2618]];0.81311;0.81310;0.81462
22;0.00084;00:05:00;0.81717;0.96055;[[2634, 315, 15, 6], [490, 2220, 225, 10], [3, 316, 2145, 447], [6, 22, 298, 2624]];0.81590;0.81585;0.81717
23;0.00084;00:05:05;0.81641;0.96040;[[2638, 311, 10, 11], [499, 2192, 247, 7], [5, 281, 2169, 456], [7, 21, 307, 2615]];0.81508;0.81497;0.81641
24;0.00083;00:05:00;0.81369;0.96066;[[2628, 319, 14, 9], [504, 2192, 242, 7], [5, 306, 2141, 459], [7, 18, 304, 2621]];0.81231;0.81220;0.81369
