epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.00287;00:03:58;0.66879;0.82625;[[58, 563, 37, 5], [21, 1961, 592, 6], [1, 718, 3636, 20], [0, 143, 701, 13]];0.61717;0.64092;0.66879
1;0.00218;00:03:51;0.70077;0.86447;[[176, 466, 21, 0], [117, 1905, 549, 9], [5, 511, 3683, 176], [0, 38, 644, 175]];0.67873;0.68221;0.70077
2;0.00197;00:03:52;0.71386;0.87834;[[227, 419, 17, 0], [166, 1895, 515, 4], [9, 476, 3695, 195], [1, 25, 598, 233]];0.69840;0.69886;0.71386
3;0.00196;00:03:53;0.71044;0.88022;[[256, 391, 16, 0], [178, 1867, 530, 5], [6, 492, 3665, 212], [1, 32, 591, 233]];0.69666;0.69606;0.71044
4;0.00189;00:03:53;0.72012;0.88445;[[277, 370, 16, 0], [178, 1885, 511, 6], [8, 476, 3666, 225], [0, 30, 552, 275]];0.70919;0.70843;0.72012
5;0.00178;00:03:57;0.73168;0.89165;[[316, 334, 13, 0], [192, 1900, 483, 5], [2, 468, 3664, 241], [2, 20, 514, 321]];0.72390;0.72270;0.73168
6;0.00179;00:03:57;0.72826;0.89109;[[312, 336, 14, 1], [178, 1894, 506, 2], [4, 467, 3657, 247], [1, 27, 520, 309]];0.71989;0.71880;0.72826
7;0.00174;00:03:54;0.73534;0.89380;[[317, 333, 13, 0], [191, 1882, 501, 6], [3, 456, 3700, 216], [2, 25, 497, 333]];0.72749;0.72696;0.73534
8;0.00172;00:03:52;0.73770;0.89605;[[339, 312, 12, 0], [201, 1888, 488, 3], [5, 441, 3703, 226], [1, 25, 509, 322]];0.72997;0.72894;0.73770
9;0.00168;00:03:51;0.74265;0.89855;[[345, 306, 11, 1], [189, 1901, 485, 5], [4, 429, 3705, 237], [1, 20, 493, 343]];0.73582;0.73461;0.74265
10;0.00170;00:03:55;0.74254;0.89718;[[357, 292, 13, 1], [188, 1903, 486, 3], [5, 454, 3676, 240], [1, 30, 469, 357]];0.73666;0.73562;0.74254
11;0.00169;00:03:56;0.74053;0.89920;[[337, 312, 13, 1], [195, 1895, 485, 5], [7, 459, 3679, 230], [1, 33, 458, 365]];0.73459;0.73372;0.74053
12;0.00169;00:03:54;0.74773;0.89917;[[354, 295, 13, 1], [185, 1900, 491, 4], [5, 431, 3700, 239], [2, 31, 441, 383]];0.74241;0.74138;0.74773
13;0.00165;00:03:53;0.74537;0.90126;[[349, 302, 12, 0], [192, 1899, 487, 2], [7, 447, 3698, 223], [3, 29, 454, 371]];0.73955;0.73890;0.74537
14;0.00162;00:03:52;0.74372;0.90347;[[354, 300, 9, 0], [198, 1880, 501, 1], [8, 443, 3680, 244], [2, 25, 441, 389]];0.73880;0.73767;0.74372
15;0.00160;00:03:54;0.75327;0.90448;[[353, 301, 9, 0], [181, 1925, 471, 3], [6, 433, 3702, 234], [1, 27, 425, 404]];0.74851;0.74777;0.75327
16;0.00161;00:03:57;0.74572;0.90434;[[360, 292, 11, 0], [198, 1893, 487, 2], [6, 446, 3679, 244], [3, 20, 446, 388]];0.74089;0.73975;0.74572
17;0.00158;00:03:54;0.74667;0.90524;[[361, 293, 9, 0], [191, 1890, 498, 1], [7, 442, 3681, 245], [2, 24, 435, 396]];0.74200;0.74095;0.74667
18;0.00154;00:03:54;0.75198;0.90904;[[378, 274, 11, 0], [208, 1885, 485, 2], [6, 434, 3713, 222], [2, 25, 433, 397]];0.74731;0.74653;0.75198
19;0.00154;00:03:52;0.75386;0.90931;[[382, 274, 7, 0], [206, 1892, 480, 2], [8, 414, 3714, 239], [1, 24, 431, 401]];0.74947;0.74832;0.75386
20;0.00153;00:03:55;0.75351;0.90925;[[366, 286, 11, 0], [193, 1904, 480, 3], [7, 429, 3693, 246], [1, 21, 412, 423]];0.74960;0.74850;0.75351
21;0.00152;00:03:53;0.75363;0.90931;[[363, 291, 9, 0], [195, 1895, 487, 3], [6, 423, 3719, 227], [1, 21, 425, 410]];0.74901;0.74815;0.75363
22;0.00151;00:03:52;0.75398;0.91041;[[378, 278, 7, 0], [202, 1892, 484, 2], [6, 426, 3709, 234], [1, 20, 425, 411]];0.74976;0.74877;0.75398
23;0.00150;00:03:52;0.75540;0.91044;[[376, 278, 9, 0], [195, 1900, 483, 2], [3, 432, 3699, 241], [1, 15, 414, 427]];0.75160;0.75061;0.75540
24;0.00148;00:03:55;0.75658;0.91194;[[379, 275, 9, 0], [188, 1919, 470, 3], [4, 432, 3694, 245], [1, 17, 419, 420]];0.75274;0.75172;0.75658
25;0.00147;00:03:55;0.75729;0.91364;[[379, 276, 8, 0], [207, 1893, 478, 2], [5, 413, 3733, 224], [1, 17, 426, 413]];0.75291;0.75204;0.75729
26;0.00146;00:03:54;0.76047;0.91408;[[377, 278, 8, 0], [197, 1935, 447, 1], [3, 422, 3715, 235], [2, 18, 419, 418]];0.75646;0.75551;0.76047
27;0.00145;00:03:52;0.76071;0.91447;[[385, 267, 11, 0], [204, 1901, 472, 3], [3, 421, 3732, 219], [2, 17, 409, 429]];0.75681;0.75605;0.76071
28;0.00142;00:03:56;0.76047;0.91720;[[378, 273, 12, 0], [210, 1916, 452, 2], [3, 412, 3729, 231], [1, 17, 417, 422]];0.75649;0.75547;0.76047
29;0.00142;00:03:58;0.76496;0.91705;[[389, 264, 10, 0], [197, 1921, 461, 1], [4, 409, 3739, 223], [2, 16, 405, 434]];0.76119;0.76040;0.76496
30;0.00140;00:03:52;0.76850;0.91862;[[390, 261, 12, 0], [192, 1943, 443, 2], [2, 413, 3750, 210], [0, 21, 406, 430]];0.76452;0.76402;0.76850
31;0.00141;00:03:54;0.76307;0.91794;[[391, 263, 8, 1], [206, 1921, 452, 1], [4, 411, 3725, 235], [1, 18, 408, 430]];0.75949;0.75847;0.76307
32;0.00140;00:03:54;0.77050;0.91785;[[393, 262, 8, 0], [185, 1940, 453, 2], [3, 397, 3761, 214], [2, 17, 402, 436]];0.76660;0.76599;0.77050
33;0.00139;00:03:52;0.77156;0.91824;[[396, 260, 7, 0], [190, 1951, 438, 1], [3, 413, 3741, 218], [0, 18, 388, 451]];0.76829;0.76768;0.77156
34;0.00137;00:03:51;0.77215;0.92026;[[401, 254, 8, 0], [195, 1936, 447, 2], [3, 379, 3765, 228], [1, 21, 393, 442]];0.76862;0.76768;0.77215
35;0.00136;00:03:53;0.77062;0.92009;[[401, 254, 8, 0], [189, 1933, 457, 1], [2, 400, 3747, 226], [1, 16, 390, 450]];0.76729;0.76650;0.77062
36;0.00138;00:03:54;0.76932;0.92023;[[405, 251, 6, 1], [194, 1923, 462, 1], [2, 412, 3746, 215], [0, 22, 389, 446]];0.76593;0.76532;0.76932
37;0.00137;00:03:56;0.77310;0.92196;[[396, 260, 7, 0], [193, 1943, 443, 1], [4, 405, 3754, 212], [1, 19, 378, 459]];0.76991;0.76932;0.77310
38;0.00135;00:03:54;0.76944;0.92208;[[397, 255, 11, 0], [191, 1930, 458, 1], [2, 409, 3739, 225], [0, 19, 383, 455]];0.76624;0.76548;0.76944
39;0.00135;00:03:51;0.77038;0.92119;[[398, 258, 7, 0], [190, 1935, 453, 2], [3, 397, 3746, 229], [1, 20, 386, 450]];0.76710;0.76623;0.77038
