epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.03977;00:01:19;0.41415;0.68727;[[480, 85, 47, 48], [344, 212, 35, 70], [173, 215, 140, 95], [149, 160, 111, 251]];0.39783;0.42442;0.41415
1;0.03696;00:01:20;0.46998;0.72577;[[408, 59, 105, 88], [201, 229, 82, 149], [68, 209, 149, 197], [40, 93, 95, 443]];0.45633;0.45371;0.46998
2;0.03409;00:01:21;0.50669;0.76836;[[455, 65, 101, 39], [179, 236, 119, 127], [59, 196, 180, 188], [22, 79, 116, 454]];0.49632;0.49146;0.50669
3;0.03116;00:01:20;0.55870;0.80962;[[474, 88, 76, 22], [178, 256, 156, 71], [40, 170, 253, 160], [21, 48, 124, 478]];0.55290;0.54969;0.55870
4;0.02916;00:01:19;0.58700;0.83599;[[480, 109, 56, 15], [163, 287, 152, 59], [30, 162, 277, 154], [18, 43, 119, 491]];0.58316;0.58052;0.58700
5;0.02731;00:01:20;0.62065;0.85828;[[500, 98, 44, 18], [164, 318, 142, 37], [16, 164, 303, 140], [14, 36, 119, 502]];0.61790;0.61586;0.62065
6;0.02624;00:01:21;0.64321;0.86970;[[493, 121, 36, 10], [153, 348, 129, 31], [15, 143, 333, 132], [17, 32, 114, 508]];0.64211;0.64116;0.64321
7;0.02478;00:01:21;0.66080;0.88438;[[502, 121, 28, 9], [152, 362, 120, 27], [7, 150, 340, 126], [12, 33, 102, 524]];0.65973;0.65895;0.66080
8;0.02395;00:01:19;0.67839;0.89260;[[500, 126, 26, 8], [141, 377, 122, 21], [10, 131, 364, 118], [9, 34, 95, 533]];0.67809;0.67785;0.67839
9;0.02312;00:01:23;0.69178;0.89992;[[514, 114, 25, 7], [139, 390, 117, 15], [10, 126, 370, 117], [4, 24, 108, 535]];0.69142;0.69109;0.69178
10;0.02215;00:01:25;0.70478;0.90807;[[503, 127, 25, 5], [135, 406, 103, 17], [8, 115, 386, 114], [9, 22, 92, 548]];0.70449;0.70432;0.70478
11;0.02119;00:01:25;0.72352;0.91592;[[517, 118, 19, 6], [138, 414, 98, 11], [5, 107, 407, 104], [5, 23, 89, 554]];0.72328;0.72308;0.72352
12;0.02035;00:01:23;0.73193;0.92270;[[528, 112, 14, 6], [128, 422, 96, 15], [6, 102, 411, 104], [6, 22, 90, 553]];0.73151;0.73115;0.73193
13;0.01952;00:01:27;0.75220;0.92877;[[524, 114, 17, 5], [123, 451, 77, 10], [4, 97, 430, 92], [4, 21, 84, 562]];0.75246;0.75287;0.75220
14;0.01902;00:01:23;0.75258;0.93124;[[537, 105, 15, 3], [128, 437, 88, 8], [2, 99, 424, 98], [4, 15, 82, 570]];0.75207;0.75165;0.75258
15;0.01809;00:01:27;0.75755;0.93849;[[529, 109, 16, 6], [122, 447, 83, 9], [1, 92, 428, 102], [1, 20, 73, 577]];0.75709;0.75689;0.75755
16;0.01774;00:01:20;0.77055;0.94061;[[538, 106, 14, 2], [112, 464, 77, 8], [7, 78, 445, 93], [5, 13, 85, 568]];0.77052;0.77048;0.77055
17;0.01719;00:01:20;0.78279;0.94410;[[548, 97, 12, 3], [116, 471, 67, 7], [4, 81, 447, 91], [3, 12, 75, 581]];0.78233;0.78203;0.78279
18;0.01631;00:01:21;0.79082;0.94950;[[547, 100, 10, 3], [112, 477, 64, 8], [3, 75, 456, 89], [1, 18, 64, 588]];0.79046;0.79038;0.79082
19;0.01580;00:01:22;0.79771;0.95292;[[557, 90, 9, 4], [107, 486, 62, 6], [7, 73, 454, 89], [3, 10, 69, 589]];0.79707;0.79676;0.79771
20;0.01516;00:01:17;0.80306;0.95638;[[554, 97, 8, 1], [110, 488, 57, 6], [2, 69, 463, 89], [3, 8, 65, 595]];0.80251;0.80230;0.80306
21;0.01468;00:01:09;0.81071;0.95895;[[555, 93, 7, 5], [105, 490, 60, 6], [1, 67, 479, 76], [6, 8, 61, 596]];0.81038;0.81016;0.81071
22;0.01434;00:01:10;0.81568;0.96076;[[552, 98, 7, 3], [104, 504, 52, 1], [2, 66, 481, 74], [3, 8, 64, 596]];0.81570;0.81585;0.81568
23;0.01363;00:01:10;0.82868;0.96463;[[566, 84, 5, 5], [101, 511, 47, 2], [2, 65, 480, 76], [1, 9, 51, 610]];0.82820;0.82830;0.82868
24;0.01319;00:01:09;0.82906;0.96706;[[573, 77, 5, 5], [99, 505, 53, 4], [0, 61, 493, 69], [4, 10, 60, 597]];0.82877;0.82859;0.82906
25;0.01284;00:01:08;0.83671;0.96831;[[586, 65, 3, 6], [93, 512, 51, 5], [3, 74, 481, 65], [2, 10, 50, 609]];0.83609;0.83604;0.83671
26;0.01218;00:01:10;0.85163;0.97205;[[578, 73, 5, 4], [93, 523, 40, 5], [3, 44, 515, 61], [4, 8, 48, 611]];0.85131;0.85120;0.85163
27;0.01208;00:01:10;0.84665;0.97212;[[579, 76, 4, 1], [86, 522, 49, 4], [2, 59, 499, 63], [2, 6, 49, 614]];0.84637;0.84627;0.84665
28;0.01129;00:01:11;0.86004;0.97673;[[586, 66, 6, 2], [87, 538, 35, 1], [0, 47, 518, 58], [1, 8, 55, 607]];0.85996;0.85995;0.86004
29;0.01096;00:01:10;0.86195;0.97773;[[578, 74, 6, 2], [76, 544, 34, 7], [4, 52, 510, 57], [2, 6, 41, 622]];0.86178;0.86202;0.86195
30;0.01021;00:01:08;0.87686;0.98102;[[588, 66, 4, 2], [66, 559, 34, 2], [2, 47, 520, 54], [1, 5, 39, 626]];0.87676;0.87695;0.87686
