epoch;loss;time;accuracy;auroc;confusion;f1;precision;recall
0;0.00130;00:05:09;0.74788;0.92956;[[2507, 430, 15, 18], [639, 1975, 301, 30], [14, 412, 1919, 566], [13, 52, 479, 2406]];0.74635;0.74579;0.74788
1;0.00137;00:05:05;0.74219;0.92603;[[2451, 487, 13, 19], [614, 1986, 311, 34], [16, 415, 1906, 574], [15, 46, 492, 2397]];0.74109;0.74061;0.74219
2;0.00134;00:05:04;0.74151;0.92777;[[2443, 501, 10, 16], [611, 1987, 309, 38], [16, 460, 1900, 535], [13, 51, 484, 2402]];0.74067;0.74049;0.74151
3;0.00131;00:05:04;0.74524;0.92938;[[2475, 462, 16, 17], [623, 1981, 309, 32], [15, 405, 1920, 571], [12, 53, 485, 2400]];0.74401;0.74346;0.74524
4;0.00127;00:05:01;0.74796;0.93165;[[2431, 509, 14, 16], [604, 2005, 309, 27], [19, 398, 1942, 552], [17, 54, 449, 2430]];0.74709;0.74682;0.74796
5;0.00125;00:05:01;0.75102;0.93325;[[2477, 473, 7, 13], [630, 1978, 315, 22], [11, 395, 1955, 550], [15, 41, 460, 2434]];0.74980;0.74928;0.75102
6;0.00121;00:05:00;0.75178;0.93480;[[2480, 463, 14, 13], [627, 1977, 323, 18], [12, 386, 1958, 555], [15, 47, 450, 2438]];0.75052;0.74996;0.75178
7;0.00120;00:05:05;0.75781;0.93617;[[2501, 447, 9, 13], [609, 2019, 292, 25], [14, 384, 1960, 553], [16, 47, 443, 2444]];0.75650;0.75608;0.75781
8;0.00121;00:05:04;0.75773;0.93594;[[2510, 431, 15, 14], [608, 1992, 313, 32], [14, 399, 1963, 535], [15, 59, 418, 2458]];0.75631;0.75581;0.75773
9;0.00118;00:05:04;0.75543;0.93666;[[2478, 466, 12, 14], [609, 2022, 291, 23], [17, 392, 1974, 528], [11, 46, 471, 2422]];0.75452;0.75415;0.75543
10;0.00114;00:05:03;0.76078;0.93919;[[2528, 416, 12, 14], [595, 2032, 300, 18], [11, 393, 1980, 527], [18, 45, 468, 2419]];0.75966;0.75918;0.76078
11;0.00111;00:05:00;0.76766;0.94081;[[2537, 406, 10, 17], [583, 2042, 294, 26], [7, 409, 1970, 525], [25, 34, 400, 2491]];0.76612;0.76575;0.76766
12;0.00122;00:05:01;0.75934;0.93693;[[2312, 609, 30, 19], [520, 2013, 393, 19], [6, 378, 2070, 457], [1, 25, 377, 2547]];0.75940;0.75985;0.75934
13;0.00097;00:05:07;0.78626;0.95019;[[2511, 437, 15, 7], [544, 2049, 337, 15], [6, 330, 2111, 464], [7, 25, 330, 2588]];0.78511;0.78453;0.78626
14;0.00090;00:05:03;0.79891;0.95456;[[2591, 362, 10, 7], [547, 2092, 293, 13], [3, 311, 2136, 461], [9, 27, 325, 2589]];0.79750;0.79713;0.79891
15;0.00087;00:05:04;0.80537;0.95680;[[2611, 342, 9, 8], [552, 2108, 273, 12], [5, 291, 2142, 473], [11, 25, 291, 2623]];0.80368;0.80364;0.80537
16;0.00084;00:05:02;0.80995;0.95856;[[2616, 337, 10, 7], [541, 2138, 257, 9], [5, 290, 2165, 451], [11, 19, 301, 2619]];0.80850;0.80841;0.80995
17;0.00082;00:05:06;0.81140;0.95972;[[2603, 355, 7, 5], [532, 2153, 248, 12], [5, 287, 2165, 454], [11, 21, 284, 2634]];0.81001;0.80998;0.81140
18;0.00078;00:05:03;0.81658;0.96232;[[2622, 335, 8, 5], [530, 2115, 291, 9], [2, 214, 2227, 468], [9, 18, 271, 2652]];0.81493;0.81509;0.81658
19;0.00078;00:05:06;0.82311;0.96235;[[2671, 287, 8, 4], [514, 2153, 271, 7], [3, 267, 2202, 439], [11, 15, 257, 2667]];0.82138;0.82154;0.82311
20;0.00077;00:05:08;0.82210;0.96274;[[2667, 290, 8, 5], [514, 2182, 241, 8], [3, 272, 2186, 450], [8, 16, 280, 2646]];0.82052;0.82067;0.82210
21;0.00076;00:05:07;0.82388;0.96393;[[2660, 294, 8, 8], [521, 2193, 219, 12], [3, 278, 2187, 443], [8, 19, 261, 2662]];0.82231;0.82266;0.82388
22;0.00077;00:05:03;0.82074;0.96331;[[2655, 303, 6, 6], [540, 2156, 235, 14], [1, 262, 2209, 439], [9, 21, 275, 2645]];0.81917;0.81942;0.82074
23;0.00077;00:05:02;0.82218;0.96323;[[2672, 285, 9, 4], [534, 2168, 233, 10], [2, 279, 2187, 443], [9, 21, 265, 2655]];0.82049;0.82082;0.82218
24;0.00075;00:05:08;0.82311;0.96453;[[2648, 312, 5, 5], [519, 2201, 216, 9], [3, 284, 2208, 416], [9, 19, 286, 2636]];0.82187;0.82196;0.82311
